brand_clean,avg_rating,avg_sentiment,recommendation_rate,review_count,positive_sentiment_pct,affinity_score
Pioneer,4.167,0.787,66.667,12,83.33,0.753
Kind,4.5,0.81,60.0,30,86.67,0.753
Reynolds,5.0,0.836,50.0,2,100.0,0.751
Oxiclean,3.877,0.769,71.739,138,76.81,0.75
Coola,5.0,0.833,50.0,2,100.0,0.75
Vicks,4.356,0.779,63.366,101,86.14,0.749
Biore,4.4,0.799,60.0,40,87.5,0.744
L'Oreal Paris,4.418,0.822,57.795,4971,92.88,0.743
Arrid,3.944,0.71,72.222,18,72.22,0.739
Ortega,5.0,0.773,50.0,2,100.0,0.732
Idesign,4.842,0.829,47.368,19,100.0,0.729
Tide,4.168,0.774,61.497,5384,84.08,0.728
Creme Of Nature,3.917,0.753,66.667,12,75.0,0.728
Sc252Nci,4.2,0.77,60.0,10,70.0,0.723
Maple Grove Farms Of Vermont,4.5,0.83,50.0,2,100.0,0.719
J. Hunt,5.0,0.853,40.0,5,100.0,0.716
Hoover,4.398,0.797,52.957,372,87.37,0.715
Maranatha,3.947,0.726,63.158,19,78.95,0.707
Samsung,3.759,0.69,68.293,328,68.6,0.706
Tai Pei,3.7,0.68,70.0,20,70.0,0.706
Chips Deluxe,4.0,0.652,66.667,3,66.67,0.702
Wild Planet,4.875,0.836,37.5,8,100.0,0.693
Solo Foods,4.462,0.779,46.154,13,92.31,0.686
Hollywood Beauty,4.333,0.755,50.0,6,83.33,0.686
Early California,4.294,0.771,47.059,17,88.24,0.677
Shea Moisture,4.376,0.773,43.564,101,87.13,0.669
Nearly Natural,4.0,0.753,50.0,10,80.0,0.666
Safavieh,4.0,0.755,50.0,6,100.0,0.666
Baxton Studio,4.0,0.736,50.0,2,50.0,0.661
Trend,3.333,0.634,66.667,6,66.67,0.657
Biotene,3.808,0.697,54.237,177,76.84,0.655
Delta Faucet,4.417,0.782,37.5,24,91.67,0.65
Ust,4.667,0.778,33.333,9,88.89,0.647
Attwood,3.333,0.599,66.667,6,66.67,0.646
Soft Scrub,4.375,0.757,37.5,8,87.5,0.64
Mitchum,4.364,0.737,36.364,11,81.82,0.628
International Concepts,4.75,0.792,25.0,4,100.0,0.623
Tom'S Of Maine,4.63,0.788,25.926,27,96.3,0.618
La Tourangelle,4.75,0.752,25.0,4,100.0,0.611
Nature'S Path,4.429,0.765,28.571,7,100.0,0.61
Sea Gull Lighting,4.429,0.757,28.571,7,85.71,0.607
Universal Home Entertainment,5.0,0.798,16.667,12,100.0,0.606
Pleasant Hearth,4.357,0.755,29.464,112,88.39,0.606
The Seaweed Bath Co.,4.111,0.734,33.333,9,77.78,0.6
Warner Manufacturing,4.286,0.763,28.571,7,100.0,0.6
Yosemite Home Decor,1.0,0.448,100.0,1,0.0,0.594
Petmaker,4.5,0.741,25.0,4,100.0,0.592
Wagan,3.0,0.575,60.0,5,60.0,0.592
Chi,4.857,0.799,14.286,14,100.0,0.588
Brownline,5.0,0.738,16.667,6,100.0,0.588
Tim Holtz,5.0,0.753,14.286,7,100.0,0.583
No Brand,4.0,0.688,33.333,3,66.67,0.58
J.A. Henckels,3.889,0.699,33.333,9,88.89,0.576
Olay,4.194,0.737,24.561,3420,90.44,0.571
Holmes,3.5,0.619,43.75,32,65.62,0.571
Skittles,3.0,0.599,50.0,4,50.0,0.56
Biokleen,4.625,0.765,12.5,8,100.0,0.557
Lite Source,3.5,0.652,37.5,8,62.5,0.556
Aveeno,3.808,0.669,30.543,442,71.27,0.551
American Atelier,3.84,0.68,28.0,25,84.0,0.546
Zyliss,4.644,0.747,10.169,59,93.22,0.543
Sizzix,4.889,0.747,5.556,18,100.0,0.54
Jnh Lifestyles,5.0,0.799,0.0,1,100.0,0.54
Hortense B. Hewitt,5.0,0.792,0.0,1,100.0,0.538
Cantu,5.0,0.789,0.0,4,100.0,0.537
Bodycology,5.0,0.786,0.0,1,100.0,0.536
Uttermost,5.0,0.787,0.0,2,100.0,0.536
Mineral Fusion,5.0,0.785,0.0,1,100.0,0.536
Herbatint,5.0,0.782,0.0,2,100.0,0.535
Jake And The Neverland Pirates,5.0,0.783,0.0,1,100.0,0.535
Yardley,5.0,0.782,0.0,1,100.0,0.535
Barielle,5.0,0.781,0.0,8,100.0,0.534
Naturtint,5.0,0.78,0.0,5,100.0,0.534
Palladio,5.0,0.779,0.0,1,100.0,0.534
E.L.F.,5.0,0.778,0.0,1,100.0,0.533
The Honest Company,4.512,0.749,9.302,43,90.7,0.533
Gain,4.333,0.687,16.667,6,100.0,0.533
On-Stage,5.0,0.774,0.0,2,100.0,0.532
Batherapy,5.0,0.774,0.0,2,100.0,0.532
Clearly Natural,5.0,0.771,0.0,3,100.0,0.531
Alberto Vo5,5.0,0.771,0.0,3,100.0,0.531
Mission Foods,5.0,0.767,0.0,2,100.0,0.53
Bosch,5.0,0.757,0.0,1,100.0,0.527
Mill Creek,4.6,0.749,6.667,15,93.33,0.527
Suzie'S,5.0,0.749,0.0,1,100.0,0.525
